sentence,intent,,,,,
김치찌개 레시피 좀 알려주세요,"B-FOOD, O, O, O, O",,,,0. 일반대화,0
스파게티 만드는 법 가르쳐 주세요,"B-FOOD, O, O, O, O, O",,,,1. 레시피요청,0
갈비찜은 어떻게 만들어야 하나요?,"B-FOOD, O, O, O, O, O",,,,2. 상황따른 요리추천,0
김치찌개 레시피가 필요해요.,"B-FOOD, O, O, O",,,,3. 감정따른 요리추천,0
김치찌개 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O, O",,,,,
김치찌개 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
김치찌개 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
김치찌개 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
김치찌개 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O, O",,,,,
김치찌개 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
김치찌개 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
김치찌개 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
김치찌개 요리법 좀 알려주시겠어요?,"	B-FOOD, O, O, O, O",,,,,
된장찌개 레시피가 필요해요.,"	B-FOOD, O, O, O",,,,,
된장찌개 만드는 법 좀 알려주세요.,"	B-FOOD, O, O, O, O",,,,,
된장찌개 요리법을 알고 싶어요.,"	B-FOOD, O, O, O, O",,,,,
된장찌개 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
된장찌개 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
된장찌개 요리하는 방법 좀 가르쳐주세요.,"	B-FOOD, O, O, O, O, O",,,,,
된장찌개 만드는 방법 알려주세요.,"	B-FOOD, O, O, O, O",,,,,
된장찌개 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
된장찌개 만드는 법을 알고 싶어요.,"	B-FOOD, O, O, O, O, O",,,,,
된장찌개 요리법 좀 알려주시겠어요?,"	B-FOOD, O, O, O, O",,,,,
불고기 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
불고기 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
불고기 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
불고기 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
불고기 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
불고기 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
불고기 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
불고기 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
불고기 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
불고기 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
비빔밥 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
비빔밥 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
비빔밥 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
비빔밥 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
비빔밥 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
비빔밥 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
비빔밥 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
비빔밥 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
비빔밥 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
비빔밥 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
잡채 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
잡채 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
잡채 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
잡채 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
잡채 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
잡채 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
잡채 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
잡채 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
잡채 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
잡채 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
떡볶이 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
떡볶이 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
떡볶이 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
떡볶이 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
떡볶이 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
떡볶이 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
떡볶이 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
떡볶이 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
떡볶이 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
떡볶이 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
라면 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
라면 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
라면 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
라면 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
라면 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
라면 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
라면 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
라면 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
라면 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
라면 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
갈비찜 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
갈비찜 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
갈비찜 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
갈비찜 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
갈비찜 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
갈비찜 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
갈비찜 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
갈비찜 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
갈비찜 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
갈비찜 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
삼계탕 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
삼계탕 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
삼계탕 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
삼계탕 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
삼계탕 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
삼계탕 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
삼계탕 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
삼계탕 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
삼계탕 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
삼계탕 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
순두부찌개 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
순두부찌개 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
순두부찌개 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O",,,,,
순두부찌개 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
순두부찌개 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
순두부찌개 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O",,,,,
순두부찌개 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
순두부찌개 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
순두부찌개 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
순두부찌개 요리법 좀 알려주시겠어요?,"B-FOOD, O, O, O, O",,,,,
밀푀유나베 어떻게 만들어?,"B-FOOD, O, O",,,,,
두부조림 만드는 방법이 궁금해,"B-FOOD, O, O, O",,,,,
오믈렛은 어떻게 만들어야 할까?,"B-FOOD, O, O, O, O",,,,,
알리오올리오 파스타 만들어보고 싶어,"B-FOOD, B-FOOD, O, O, O",,,,,
사케동은 어떻게 만들수 있어?,"B-FOOD, O, O, O, O",,,,,